Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT,NEWS_HEAT_READ_DAVG,NEWS_PUBLICATION_COUNT,TWITTER_PUBLICATION_COUNT
23/11/2016,780.12,0.1095,68,15,-0.0197,260,499,0,666,4782
22/11/2016,785.33,0.1013,65,12,0.0012,213,100,0,749,5958
21/11/2016,780,0.0283,13,5,0.0042,100,43,0,356,1891
18/11/2016,760.16,0.1406,111,19,0.0056,414,289,0,953,6394
17/11/2016,756.4,0.1153,63,9,-0.0089,160,232,0,747,3410
16/11/2016,746.49,0.2278,78,12,-0.0034,200,199,0,760,3876
15/11/2016,743.24,0.0903,56,31,-0.0259,129,444,0,796,4499
14/11/2016,719.07,0.1401,35,15,0.0019,113,38,1,435,3006
11/11/2016,739.01,-0.1246,36,49,-0.0037,198,268,0,843,5188
10/11/2016,742.38,0.1098,27,12,-0.0032,111,146,2,523,2433
09/11/2016,771.88,0.1868,34,12,0.0002,61,54,1,455,2461
08/11/2016,787.75,0.1359,40,18,0.0007,137,96,0,630,3787
07/11/2016,784.93,0.1552,16,3,0.0004,46,19,0,228,1883
04/11/2016,755.05,0.0928,36,9,0.0003,91,70,0,577,4541
03/11/2016,767.03,0.152,44,5,-0.0017,111,143,0,500,3444
02/11/2016,765.56,0.1617,60,10,0.0022,186,122,0,581,4295
01/11/2016,785.41,0.1641,64,10,-0.0101,209,231,0,636,3271
31/10/2016,789.82,0.0537,12,6,-0.0181,59,187,1,315,1795
28/10/2016,776.32,0.5576,306,81,-0.3806,1598,3865,3,1838,13235
27/10/2016,818.36,0.4455,91,5,0.0014,121,82,2,667,2684
26/10/2016,822.59,0.1891,61,2,0.0019,118,69,0,564,2640
25/10/2016,835.18,0.2912,59,2,0.0166,313,30,0,579,2938
24/10/2016,838.09,0.2059,19,1,0.0012,55,32,0,337,1936
21/10/2016,818.99,-0.1166,45,62,-0.003,93,230,0,796,4369
20/10/2016,810.32,0.1797,40,6,0.0007,80,48,0,615,2808
19/10/2016,817.69,0.0878,41,11,0.0009,109,93,0,733,3264
18/10/2016,817.65,0.1714,46,11,0.0026,183,89,0,630,3454
17/10/2016,812.95,0.3407,29,4,0.0022,58,25,0,311,1530
14/10/2016,822.96,0.177,122,25,0.0021,215,96,0,959,5388
13/10/2016,829.28,0.3651,157,20,0.0006,167,118,0,977,7352
12/10/2016,834.09,0.256,119,6,0.0002,147,87,1,891,7810
11/10/2016,831,0.1299,35,2,0.0011,62,46,1,494,1794
10/10/2016,841.71,0.0969,9,6,0.0002,24,18,0,215,1358
07/10/2016,839.43,0.193,77,7,0.0022,161,128,0,705,3550
06/10/2016,841.66,0.3319,98,9,0.0037,361,164,0,1013,6186
05/10/2016,844.36,0.1389,63,18,0.0009,222,141,0,978,6650
04/10/2016,834.03,0.1873,54,20,-0.0027,121,247,0,641,4954
03/10/2016,836.74,0.1033,17,7,0.0005,68,26,0,266,2830
30/09/2016,837.31,0.2873,60,2,0.0067,314,95,0,611,4409
29/09/2016,829.05,0.2495,67,10,0.0026,330,103,0,728,6227
28/09/2016,828.72,0.2349,96,7,0.0052,331,48,1,905,4768
27/09/2016,816.11,0.1629,45,8,0.0021,153,55,1,525,3217
26/09/2016,799.16,0.5452,55,13,0.002,45,11,0,294,1059
23/09/2016,805.75,0.342,60,6,0.0535,542,60,0,753,3525
22/09/2016,804.7,0.2498,58,10,0.0084,187,60,2,551,2816
21/09/2016,789.74,0.3386,66,3,0.0012,99,27,0,567,3038
20/09/2016,780.22,0.1396,44,14,0.0019,117,26,0,542,2952
19/09/2016,775.1,0.1214,23,3,0.0046,106,6,1,387,1722
16/09/2016,778.52,0.5128,89,7,0.0008,100,40,1,732,3550
15/09/2016,769.69,0.1202,56,12,0.0003,106,54,1,709,5606
14/09/2016,761.09,0.1345,49,10,0.0036,337,55,1,677,5368
13/09/2016,761.01,0.2551,49,4,0.0018,104,47,0,735,2551
12/09/2016,771.49,0.1132,20,4,0.0001,28,26,1,299,2951
09/09/2016,760.14,0.1489,64,15,-0.0023,197,207,0,729,4857
08/09/2016,784.06,0.1128,30,5,-0.0008,79,97,0,570,4959
07/09/2016,784.48,0.2294,50,5,0.0022,194,70,1,576,4337
06/09/2016,788.87,-0.0322,3,6,0.0004,38,17,2,272,2078
05/09/2016,,0.0292,3,6,-0.0012,17,57,0,143,1611
02/09/2016,772.44,0.2373,35,6,0.0003,59,34,0,412,3219
01/09/2016,770.62,0.0461,33,6,0.0006,78,35,0,615,3883
31/08/2016,769.16,0.0785,41,14,-0.0006,55,102,1,797,4337
30/08/2016,767.58,0.1465,36,10,0.0015,98,22,1,639,2873
29/08/2016,771.29,0.0746,10,4,0.0002,33,5,0,254,2454
26/08/2016,769,0.2045,69,27,0.0002,67,36,0,662,4370
25/08/2016,759.22,0.0991,32,5,0.0003,49,23,0,478,3606
24/08/2016,757.25,0.2282,44,13,0.0012,124,66,0,560,3750
23/08/2016,762.45,0.061,36,8,0.0003,69,34,0,590,3732
22/08/2016,759.48,0.1823,10,1,0.0003,36,28,0,206,2029
19/08/2016,757.31,0.1055,32,4,0.0135,269,30,0,496,2831
18/08/2016,764.46,0.0703,47,4,0.0031,137,47,0,549,2746
17/08/2016,764.63,0.2797,43,7,-0.0011,34,44,0,523,1761
16/08/2016,764.04,0.1146,29,5,0.0006,52,39,0,443,1914
15/08/2016,768.49,0.0305,9,3,0.0005,50,14,0,228,1744
12/08/2016,772.56,0.1389,56,5,0.0037,192,84,0,718,3712
11/08/2016,771.24,0.1093,27,3,0.0005,74,24,0,437,3031
10/08/2016,768.56,0.1114,39,8,0.0135,221,34,0,515,2311
09/08/2016,768.31,0.2535,93,33,0.0628,1298,139,0,982,6449
08/08/2016,766.56,0.1806,46,19,-0.0007,60,78,0,475,3083
05/08/2016,765.98,0.1154,46,7,0.0016,193,57,0,579,4467
04/08/2016,760.77,0.3612,80,11,0.0008,205,114,0,661,6860
03/08/2016,754.64,0.3469,46,10,0.0023,78,27,0,658,1854
02/08/2016,760.58,0.4079,52,7,0.0186,303,40,0,533,3575
01/08/2016,767.74,0.3736,41,1,0.0159,116,19,0,330,1526
29/07/2016,758.81,0.7818,454,26,0.5171,5016,441,2,2109,13099
28/07/2016,752.61,0.2761,61,10,0.0008,122,52,2,702,3124
27/07/2016,736.67,0.3771,96,6,0.0008,106,22,0,647,2906
26/07/2016,735.59,0.3781,97,12,0.0005,134,22,0,638,5099
25/07/2016,739.61,0.3027,19,4,0.0051,63,8,0,271,1360
22/07/2016,744.86,0.1967,63,10,0.0042,213,31,0,553,5370
21/07/2016,744.43,0.1603,45,3,0.0094,194,57,0,563,2395
20/07/2016,745.72,0.2657,48,6,-0.0095,71,257,0,525,2878
19/07/2016,739.95,0.275,57,1,0.0076,169,117,0,491,2506
18/07/2016,736.07,0.0767,11,1,0.0007,22,13,0,198,921
15/07/2016,735.44,0.2983,74,3,0.0026,145,76,0,549,3211
14/07/2016,741.2,0.486,185,17,0.1074,1102,94,0,768,5420
13/07/2016,742.63,0.177,153,22,0.0038,496,415,2,940,8369
12/07/2016,748.21,0.1148,125,12,0.0073,701,96,2,1048,9061
11/07/2016,753.78,0.1265,28,3,-0.0018,52,105,1,363,4469
08/07/2016,745.81,0.2043,44,10,0.0009,81,42,0,398,2723
07/07/2016,736.57,0.3447,73,3,0.0024,192,68,0,497,3618
06/07/2016,737.61,0.182,36,6,0.0024,126,23,0,365,2742
05/07/2016,728.1,0.1305,17,3,0.0018,55,12,0,266,3255
04/07/2016,,0.0477,6,2,-0.0482,11,190,0,132,1946
01/07/2016,725.68,0.1905,62,3,0.002,169,62,0,561,4253
30/06/2016,715.62,0.1392,88,2,0.0003,98,97,0,774,6918
29/06/2016,715.6,0.1313,64,6,0.0014,167,14,0,544,3939
28/06/2016,707.95,0.1302,46,8,0.0004,96,55,0,502,4035
27/06/2016,691.36,0.1958,19,2,-0.0002,21,32,1,297,1576
24/06/2016,698.96,0.15,29,11,-0.0023,68,97,1,440,2404
23/06/2016,722.08,0.1967,69,27,-0.0061,153,158,0,724,3119
22/06/2016,710.6,0.0457,24,9,0.0088,132,55,0,464,3917
21/06/2016,715.82,0.315,37,11,-0.0095,38,122,0,442,1708
20/06/2016,714.01,0.0852,13,4,0.0118,53,39,0,375,792
17/06/2016,706.39,0.1179,29,10,0.0604,227,90,1,373,1698
16/06/2016,717.51,0.2019,31,9,-0.0309,108,216,0,471,1720
15/06/2016,714.26,0.0605,27,19,-0.0689,65,249,0,458,1477
14/06/2016,719.3,0.0688,40,23,-0.3097,84,807,0,608,3188
13/06/2016,715.24,0.1022,15,1,0.0078,63,25,0,217,816
10/06/2016,717.91,0.3914,77,14,-0.0083,133,201,0,499,3259
09/06/2016,727.65,0.3567,118,1,0.0183,478,103,0,744,4211
08/06/2016,726.64,0.4689,117,8,0.2393,1273,266,0,715,4171
07/06/2016,723.74,0.1026,24,6,0.0047,101,84,0,377,1622
06/06/2016,726.73,0.0263,17,9,-0.0004,22,27,0,273,1529
03/06/2016,725.54,0.0703,35,13,-0.006,198,165,0,576,2865
02/06/2016,728.24,0.0645,53,18,-0.0055,204,231,0,726,3689
01/06/2016,719.44,0.0364,33,30,0.0142,318,112,0,595,3466
31/05/2016,722.79,0.26,18,1,0.0008,27,8,0,240,1080
30/05/2016,,0.0914,11,6,0.0021,37,6,0,130,909
27/05/2016,712.24,0.1263,35,6,0.001,111,58,0,486,4139
26/05/2016,714.91,0.0963,57,4,0.0056,224,87,0,631,3950
25/05/2016,708.35,0.1356,63,12,0.0021,155,62,0,615,4047
24/05/2016,704.2,0.2964,35,6,-0.0012,67,68,0,394,2054
23/05/2016,696.75,0.204,14,3,-0.0031,39,68,0,308,1418
20/05/2016,702.8,0.1149,36,15,0.0009,123,69,0,507,4165
19/05/2016,698.52,0.1238,49,15,0.0003,145,121,0,675,7224
18/05/2016,697.45,0.0627,47,12,0.0009,181,156,0,791,5675
17/05/2016,695.27,0.2156,69,5,-0.0019,168,201,0,632,5474
16/05/2016,710.66,0.2316,44,1,0.0014,177,32,0,374,4881
13/05/2016,709.92,0.2346,51,27,-0.0077,273,430,0,605,6036
12/05/2016,717.93,0.2537,64,11,0.0048,323,208,0,604,5854
11/05/2016,713.23,0.6027,156,6,0.0256,1129,82,1,1105,9314
10/05/2016,703.07,0.3234,42,8,0.0228,239,45,2,413,2234
09/05/2016,679.75,0.08,9,3,0.0041,91,13,0,249,1501
06/05/2016,673.95,0.3751,79,9,0.0173,259,47,0,541,2656
05/05/2016,659.09,0.1864,46,6,0.0374,477,87,0,479,3357
04/05/2016,670.9,0.2331,40,2,0.0277,193,206,0,460,1971
03/05/2016,671.32,0.0958,33,8,0.0354,400,65,0,471,3134
02/05/2016,683.85,0.192,19,4,0.0156,157,44,1,244,1740
29/04/2016,659.59,0.8161,350,24,0.5452,5637,379,3,1821,13709
28/04/2016,602,0.2402,68,38,0.0048,131,88,2,797,3123
27/04/2016,606.57,0.1681,51,15,-0.007,111,233,1,594,3911
26/04/2016,616.88,0.0941,19,13,-0.1114,45,480,0,439,2668
25/04/2016,626.2,0.2196,18,1,-0.0101,93,91,0,288,1358
22/04/2016,620.5,0.142,34,10,0.0017,114,89,0,438,3374
21/04/2016,631,0.2796,45,6,0.0005,59,32,0,582,2681
20/04/2016,632.99,0.1035,33,4,0.0005,67,65,0,502,3830
19/04/2016,627.9,0.2814,108,31,-0.0011,124,185,1,977,6126
18/04/2016,635.35,0.1291,24,2,0,21,21,1,417,3727
15/04/2016,625.89,0.0945,34,5,0.0009,80,24,0,520,3277
14/04/2016,620.75,0.0613,49,10,0.001,185,22,0,777,5850
13/04/2016,614.82,0.0726,35,9,0.0014,78,39,0,497,2302
12/04/2016,603.17,-0.0643,15,20,-0.0019,59,97,0,477,2283
11/04/2016,595.93,0.0545,9,1,0.0024,59,19,0,261,1315
08/04/2016,594.6,0.0942,30,7,0.0015,110,83,0,480,3460
07/04/2016,591.43,0.1358,57,13,0.0023,147,106,0,576,4183
06/04/2016,602.08,0.0454,38,13,-0.0009,48,103,0,790,4971
05/04/2016,586.14,0.1729,48,8,-0.0016,105,128,0,542,4303
04/04/2016,593.19,0.1261,19,2,0.0007,37,13,0,349,1718
01/04/2016,598.5,0.1618,55,1,0.0002,51,38,0,628,5074
31/03/2016,593.64,0.1202,30,9,0.0019,111,77,0,396,3461
30/03/2016,598.69,0.2758,31,5,0.0161,235,118,0,387,3094
29/03/2016,593.86,0.3033,24,3,-0.0121,62,122,0,351,1568
28/03/2016,579.87,0.219,12,1,0.0027,41,10,0,188,972
25/03/2016,,0.1272,30,8,0.0019,83,61,0,494,2486
24/03/2016,582.95,0.1256,47,17,-0.0021,56,115,0,566,3630
23/03/2016,569.63,0.1146,39,24,-0.0225,73,373,0,537,3338
22/03/2016,560.48,0.0478,38,28,-0.0212,86,383,0,612,3720
21/03/2016,553.98,0.0665,19,6,0.0001,21,26,1,307,2797
18/03/2016,552.08,0.1575,37,11,-0.0026,104,167,0,566,4150
17/03/2016,559.44,0.0509,22,6,0.0042,157,94,2,474,2796
16/03/2016,574.27,0.0477,24,9,-0.001,61,82,0,463,3728
15/03/2016,577.02,0.2255,42,8,0.0004,92,22,0,434,4906
14/03/2016,573.37,0.1757,10,1,0.0002,21,6,0,184,1886
11/03/2016,569.61,0.1895,30,20,-0.0012,35,124,0,369,5108
10/03/2016,558.93,0.449,116,2,0.0013,158,50,0,775,5430
09/03/2016,559.47,0.338,68,14,-0.0005,73,87,1,641,5238
08/03/2016,560.26,-0.089,25,25,-0.0029,62,97,0,461,2635
07/03/2016,562.8,0.2812,18,4,0.0005,27,25,1,213,1567
04/03/2016,575.14,0.0888,57,19,-0.0064,153,463,0,630,7294
03/03/2016,577.49,0.1486,32,13,0.0021,80,70,0,464,1862
02/03/2016,580.21,0.2905,28,9,0.0006,126,29,0,931,5561
01/03/2016,579.04,0.4197,63,4,0.0047,129,61,0,562,3585
29/02/2016,552.52,0.4788,63,6,0.0018,114,40,0,433,3665
26/02/2016,555.23,0.0769,15,8,-0.0014,66,70,0,362,2358
25/02/2016,555.15,0.0329,12,7,-0.0011,66,69,0,513,2642
24/02/2016,554.04,0.0473,19,4,-0.001,62,63,0,611,2999
23/02/2016,552.94,0.1625,39,7,0.0058,137,51,0,599,3261
22/02/2016,559.5,0.2648,25,2,0.0003,20,15,0,278,1228
19/02/2016,534.9,0.4803,46,6,0.0037,163,120,0,521,3167
18/02/2016,525,0.2907,48,5,0.0068,132,54,0,552,2157
17/02/2016,534.1,0.5372,68,11,0.004,92,43,0,445,1913
16/02/2016,521.1,0.2561,18,2,0.0186,130,24,0,284,1283
15/02/2016,,0.0548,6,3,0.0019,39,13,0,218,1026
12/02/2016,507.08,0.5173,56,7,0.019,267,72,0,481,2765
11/02/2016,503.82,0.4119,85,7,0.071,699,86,0,618,4417
10/02/2016,490.48,0.1839,44,9,0.0203,512,79,0,512,4309
09/02/2016,482.07,0.0993,25,9,-0.0035,68,104,0,435,2401
08/02/2016,488.1,-0.064,7,7,-0.0033,40,71,1,184,1569
05/02/2016,502.13,0.0942,32,15,-0.0008,90,92,1,482,3617
04/02/2016,536.26,0.1427,65,24,-0.0017,101,246,0,697,6725
03/02/2016,531.07,0.1997,77,8,-0.0004,115,139,1,728,7482
02/02/2016,552.1,0.2759,43,6,-0.0089,107,133,0,448,2170
01/02/2016,574.81,0.0125,6,4,-0.0145,109,135,0,343,1914
29/01/2016,587,0.7523,347,84,-0.3063,2554,4899,3,2084,16477
28/01/2016,635.35,0.3188,53,14,0.0446,540,95,2,584,3677
27/01/2016,583.35,0.1618,32,6,0.0067,212,74,1,457,4169
26/01/2016,601.25,0.242,44,4,-0.0054,154,217,0,530,3669
25/01/2016,596.53,0.6018,32,3,0.0024,38,28,0,287,1269
