Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT
2019-05-16 19:00:00,0.20600000000000002,1907.91,6,0,0.0,2.0,1.0
2019-05-16 19:30:00,0.2,1906.18,2,0,0.0,1.0,0.0
2019-05-16 20:00:00,0.1439,1906.5,1,1,0.0151,6.0,0.0
2019-05-16 20:30:00,0.1211,1907.57,0,0,-0.0142,1.0,6.0
2019-05-16 21:00:00,0.1152,0.0,0,0,,,
2019-05-17 14:30:00,0.19399999999999998,1892.54,1,0,-0.0052,3.0,6.0
2019-05-17 15:00:00,0.2198,1897.72,1,1,0.0148,5.0,4.0
2019-05-17 15:30:00,0.1711,1906.39,1,1,0.0106,5.0,5.0
2019-05-17 16:00:00,0.1853,1903.21,2,1,0.0128,6.0,1.0
2019-05-17 16:30:00,0.1679,1899.91,0,0,-0.0008,0.0,1.0
2019-05-17 17:00:00,0.1034,1897.49,1,2,0.0062,4.0,4.0
2019-05-17 17:30:00,0.0921,1900.4,0,0,0.0124,3.0,2.0
2019-05-17 18:00:00,0.0962,1897.5,1,0,0.03,6.0,3.0
2019-05-17 18:30:00,0.0713,1898.18,0,0,0.0234,5.0,2.0
2019-05-17 19:00:00,0.0654,1895.01,1,2,-0.0169,1.0,4.0
2019-05-17 19:30:00,0.0675,1895.16,3,1,-0.0066,1.0,3.0
2019-05-17 20:00:00,0.0528,1882.4,0,0,-0.0073,1.0,4.0
2019-05-17 20:30:00,0.0558,1869.0,1,0,0.0247,5.0,4.0
2019-05-17 21:00:00,0.0504,0.0,1,0,,,
2019-05-20 14:30:00,0.3541,1851.0,2,0,0.0301,5.0,3.0
2019-05-20 15:00:00,0.3278,1853.19,1,0,0.0101,3.0,2.0
2019-05-20 15:30:00,0.2719,1860.0,2,0,0.009000000000000001,2.0,2.0
2019-05-20 16:00:00,0.2061,1856.4,1,0,0.0057,3.0,3.0
2019-05-20 16:30:00,0.2404,1855.0,1,0,0.0147,4.0,2.0
2019-05-20 17:00:00,0.2512,1863.93,1,0,-0.0108,2.0,3.0
2019-05-20 17:30:00,0.2378,1857.8,0,0,-0.006999999999999999,0.0,3.0
2019-05-20 18:00:00,0.2222,1862.1,0,0,-0.0151,0.0,3.0
2019-05-20 18:30:00,0.2072,1861.83,0,0,0.0107,2.0,0.0
2019-05-20 19:00:00,0.1681,1862.17,0,0,0.0012,0.0,1.0
2019-05-20 19:30:00,0.1395,1856.0,0,1,0.0151,3.0,1.0
2019-05-20 20:00:00,0.1258,1860.7,0,0,-0.0028,1.0,1.0
2019-05-20 20:30:00,0.1087,1858.97,0,1,-0.0072,1.0,2.0
2019-05-21 14:30:00,0.2581,1863.39,11,0,0.0162,6.0,3.0
2019-05-21 15:00:00,0.2661,1852.63,1,0,0.0066,4.0,3.0
2019-05-21 15:30:00,0.3073,1861.03,2,0,-0.024,6.0,7.0
2019-05-21 16:00:00,0.3427,1855.38,2,1,-0.0194,3.0,6.0
2019-05-21 16:30:00,0.3086,1849.58,1,0,-0.0108,1.0,4.0
2019-05-21 17:00:00,0.3297,1856.16,3,1,0.0132,7.0,4.0
2019-05-21 17:30:00,0.3101,1852.17,0,1,0.0176,4.0,3.0
2019-05-21 18:00:00,0.2986,1853.81,0,0,0.0256,5.0,2.0
2019-05-21 18:30:00,0.2754,1858.5,0,0,0.0266,5.0,4.0
2019-05-21 19:00:00,0.2693,1864.77,1,0,0.0046,4.0,2.0
2019-05-21 19:30:00,0.2862,1861.28,1,0,0.0046,3.0,1.0
2019-05-21 20:00:00,0.2442,1859.41,1,0,0.0066,3.0,2.0
2019-05-21 20:30:00,0.2351,1857.52,1,0,0.0062,2.0,1.0
2019-05-21 21:00:00,0.2243,0.0,0,0,,,
2019-05-22 14:30:00,0.2224,1861.84,0,0,-0.0078,4.0,6.0
2019-05-22 15:00:00,0.2744,1865.91,3,0,0.026000000000000002,7.0,2.0
2019-05-22 15:30:00,0.2218,1861.19,0,0,0.038,8.0,3.0
2019-05-22 16:00:00,0.2366,1867.09,1,1,-0.0051,4.0,4.0
2019-05-22 16:30:00,0.2065,1863.36,0,0,0.0,2.0,3.0
2019-05-22 17:30:00,0.1892,1859.15,2,0,-0.0085,2.0,5.0
2019-05-22 18:00:00,0.1581,1859.06,1,4,-0.0363,1.0,13.0
2019-05-22 18:30:00,0.0979,1862.845,0,1,-0.0426,3.0,13.0
2019-05-22 19:00:00,0.0817,1863.51,1,2,-0.0262,3.0,8.0
2019-05-22 19:30:00,0.0929,1869.05,1,0,-0.0498,2.0,11.0
2019-05-22 20:00:00,0.0625,1866.64,0,0,0.0084,4.0,3.0
2019-05-22 20:30:00,0.0482,1859.68,0,1,-0.0241,3.0,6.0
2019-05-22 21:00:00,0.042,0.0,0,1,,,
2019-05-23 14:30:00,0.0546,1833.11,1,0,-0.0059,2.0,2.0
2019-05-23 15:00:00,0.0573,1830.64,2,0,-0.0311,2.0,7.0
2019-05-23 15:30:00,0.052000000000000005,1829.29,0,2,-0.006,1.0,2.0
2019-05-23 16:00:00,0.0574,1827.18,3,0,-0.0059,3.0,4.0
2019-05-23 16:30:00,0.0518,1818.98,0,0,-0.0066,3.0,4.0
2019-05-23 17:00:00,0.0467,1810.1,2,3,-0.0108,4.0,6.0
2019-05-23 17:30:00,0.0413,1805.91,1,0,0.0189,5.0,5.0
2019-05-23 18:30:00,0.0348,1810.25,0,0,0.0159,4.0,2.0
2019-05-23 20:00:00,0.0268,1817.94,0,0,-0.0113,3.0,3.0
2019-05-24 14:30:00,0.2229,1838.09,5,0,-0.0038,2.0,2.0
2019-05-24 15:00:00,0.2613,1828.31,4,0,0.0076,4.0,2.0
2019-05-24 15:30:00,0.3237,1824.0,4,0,0.0157,5.0,4.0
2019-05-24 16:00:00,0.2739,1824.0,3,0,-0.0212,2.0,5.0
2019-05-24 16:30:00,0.2991,1827.86,3,0,0.0128,4.0,3.0
2019-05-24 17:00:00,0.3518,1827.12,3,0,0.0061,1.0,0.0
2019-05-24 17:30:00,0.3134,1829.0,1,1,0.0,2.0,1.0
2019-05-24 18:00:00,0.3106,1823.6,1,0,-0.0052,1.0,2.0
2019-05-24 18:30:00,0.3197,1826.6,0,0,-0.0143,2.0,3.0
2019-05-24 19:00:00,0.3157,1824.82,1,0,-0.0193,0.0,3.0
2019-05-24 19:30:00,0.3483,1823.74,1,0,-0.0018,0.0,0.0
2019-05-24 20:00:00,0.39299999999999996,1822.0,1,0,0.0384,4.0,1.0
2019-05-24 20:30:00,0.4069,1823.28,0,0,-0.0121,1.0,2.0
2019-05-24 21:00:00,0.42200000000000004,0.0,1,0,,,
2019-05-28 14:30:00,0.0787,1841.96,2,3,0.0148,5.0,2.0
2019-05-28 15:00:00,0.0777,1837.04,5,3,0.0203,6.0,2.0
2019-05-28 15:30:00,0.0665,1839.97,1,3,-0.0016,2.0,0.0
2019-05-28 16:00:00,0.0608,1839.49,3,1,-0.0265,4.0,7.0
2019-05-28 16:30:00,0.0553,1845.12,4,3,-0.0011,0.0,1.0
2019-05-28 17:00:00,0.0607,1847.76,5,3,0.002,2.0,3.0
2019-05-28 17:30:00,0.0678,1846.19,4,2,0.0,3.0,2.0
2019-05-28 18:00:00,0.0627,1843.3,1,0,-0.0025,4.0,4.0
2019-05-28 18:30:00,0.0575,1845.0,1,0,0.0032,3.0,1.0
2019-05-28 19:00:00,0.043,1841.63,0,1,0.0281,5.0,1.0
2019-05-28 19:30:00,0.0482,1839.46,4,2,0.0044,2.0,1.0
2019-05-28 20:00:00,0.0428,1832.79,2,2,0.0099,4.0,1.0
2019-05-28 20:30:00,0.0482,1836.43,7,4,0.033,6.0,4.0
2019-05-29 14:30:00,0.0651,1821.85,4,2,-0.0339,1.0,9.0
2019-05-29 15:00:00,0.0696,1825.19,2,0,0.0189,6.0,4.0
2019-05-29 15:30:00,0.0587,1818.69,2,0,0.0,2.0,1.0
2019-05-29 16:00:00,0.0516,1814.67,0,0,-0.0187,2.0,5.0
2019-05-29 16:30:00,0.0462,1811.55,0,1,0.0138,4.0,2.0
2019-05-29 17:00:00,0.0662,1814.89,8,1,0.0072,3.0,3.0
2019-05-29 17:30:00,0.0611,1809.97,1,1,0.001,1.0,1.0
2019-05-29 18:30:00,0.0618,1817.75,2,0,0.0143,3.0,1.0
2019-05-29 20:00:00,0.0473,1813.94,0,1,-0.0072,2.0,4.0
2019-05-29 20:30:00,0.0542,1819.19,3,1,-0.0089,2.0,2.0
2019-05-29 21:00:00,0.0548,0.0,1,1,,,
2019-05-30 14:30:00,0.0824,1824.86,2,0,0.0357,4.0,0.0
2019-05-30 15:00:00,0.0606,1824.97,0,1,0.0058,2.0,1.0
2019-05-30 15:30:00,0.0602,1817.78,1,0,-0.0011,0.0,2.0
2019-05-30 16:00:00,0.0652,1818.22,1,0,-0.0128,0.0,4.0
2019-05-30 16:30:00,0.0841,1816.01,1,0,0.0275,4.0,3.0
2019-05-30 17:00:00,0.069,1817.67,0,1,-0.0012,1.0,1.0
2019-05-30 18:00:00,0.0588,1817.39,0,0,0.0147,2.0,2.0
2019-05-30 18:30:00,0.055999999999999994,1816.0,1,0,-0.006999999999999999,0.0,2.0
2019-05-30 19:00:00,0.0571,1813.25,0,0,0.0216,4.0,0.0
2019-05-30 20:00:00,0.0699,1815.97,1,0,-0.0049,0.0,1.0
2019-05-30 20:30:00,0.0616,1816.32,0,1,-0.0438,2.0,4.0
2019-05-30 21:00:00,0.0513,0.0,0,0,,,
2019-05-31 15:00:00,-0.0334,1787.21,1,0,0.0013,0.0,2.0
2019-05-31 15:30:00,0.0369,1789.32,3,0,-0.0141,3.0,5.0
2019-05-31 16:00:00,0.0368,1793.68,0,0,0.0021,2.0,2.0
2019-05-31 16:30:00,0.047,1791.0,2,0,0.0053,4.0,3.0
2019-05-31 17:00:00,0.0544,1786.11,2,0,0.0032,2.0,2.0
2019-05-31 17:30:00,0.0634,1784.8,2,0,-0.0023,0.0,1.0
2019-05-31 18:00:00,0.065,1785.37,1,0,0.0029,2.0,2.0
2019-05-31 18:30:00,0.0844,1784.78,3,0,-0.0114,3.0,4.0
2019-05-31 19:00:00,0.0958,1778.65,1,0,-0.0122,3.0,5.0
2019-05-31 19:30:00,0.1106,1778.02,1,0,0.0266,7.0,0.0
2019-05-31 20:00:00,0.1068,1778.04,1,0,-0.037000000000000005,4.0,7.0
2019-05-31 20:30:00,0.0957,1775.07,1,0,-0.0239,1.0,5.0
2019-06-03 14:30:00,0.2584,1708.87,3,1,-0.0253,9.0,10.0
2019-06-03 15:00:00,0.2225,1713.89,2,1,-0.0309,5.0,12.0
2019-06-03 15:30:00,0.248,1718.35,6,0,-0.0479,6.0,14.0
2019-06-03 16:00:00,0.2172,1721.84,6,1,0.0678,9.0,6.0
2019-06-03 16:30:00,0.1852,1712.91,0,1,-0.1353,4.0,11.0
2019-06-03 17:00:00,0.2299,1692.46,5,2,-0.0935,8.0,16.0
2019-06-03 17:30:00,0.2531,1693.02,4,0,-0.0298,11.0,12.0
2019-06-03 18:00:00,0.2222,1689.03,0,0,0.0075,5.0,3.0
2019-06-03 18:30:00,0.2309,1693.98,5,1,-0.2183,1.0,19.0
2019-06-03 19:00:00,0.24,1694.32,0,0,-0.0506,1.0,9.0
2019-06-03 19:30:00,0.2332,1686.28,0,0,-0.0633,3.0,8.0
2019-06-03 20:00:00,0.2492,1683.5,2,1,-0.0259,3.0,6.0
2019-06-03 20:30:00,0.259,1692.69,2,3,-0.0751,5.0,12.0
2019-06-03 21:00:00,0.2419,0.0,0,0,,,
2019-06-04 14:30:00,0.2432,1684.63,3,0,-0.0252,4.0,11.0
2019-06-04 15:00:00,0.2016,1707.56,1,0,-0.0102,5.0,6.0
2019-06-04 15:30:00,0.1822,1707.54,0,0,-0.0187,2.0,6.0
2019-06-04 16:00:00,0.215,1718.73,3,0,0.0038,3.0,3.0
2019-06-04 16:30:00,0.2804,1721.36,4,1,0.0135,5.0,2.0
2019-06-04 17:00:00,0.2976,1719.7,4,0,0.0063,2.0,1.0
2019-06-04 17:30:00,0.3379,1723.5,3,2,0.0252,5.0,3.0
2019-06-04 18:00:00,0.3141,1724.25,0,1,0.087,8.0,1.0
2019-06-04 18:30:00,0.3137,1726.99,2,0,-0.0765,1.0,7.0
2019-06-04 19:00:00,0.3575,1724.98,3,0,-0.0292,3.0,5.0
2019-06-04 19:30:00,0.3674,1722.05,2,0,0.016,4.0,2.0
2019-06-04 20:00:00,0.32799999999999996,1724.18,2,1,0.0223,4.0,3.0
2019-06-04 20:30:00,0.3573,1729.56,3,0,0.0,4.0,4.0
2019-06-05 14:30:00,0.0474,1733.89,2,1,-0.0335,2.0,7.0
2019-06-05 15:00:00,0.0387,1719.82,0,0,-0.0144,3.0,5.0
2019-06-05 15:30:00,0.0479,1721.22,2,1,-0.0257,4.0,5.0
2019-06-05 16:00:00,-0.0435,1732.65,1,1,-0.0273,4.0,5.0
2019-06-05 16:30:00,-0.0522,1738.5,1,2,-0.027999999999999997,1.0,5.0
2019-06-05 17:00:00,-0.0359,1730.22,1,0,0.0176,5.0,3.0
2019-06-05 17:30:00,-0.0281,1729.3,1,1,0.0022,1.0,2.0
2019-06-05 18:00:00,0.0361,1732.36,7,0,0.0,1.0,2.0
2019-06-05 18:30:00,0.0459,1734.31,6,0,0.0,3.0,2.0
2019-06-05 19:00:00,0.0868,1735.42,12,0,-0.0061,4.0,5.0
2019-06-05 19:30:00,0.0983,1734.99,9,2,-0.0026,2.0,3.0
2019-06-05 20:00:00,0.1196,1734.64,7,0,-0.0035,2.0,5.0
2019-06-05 20:30:00,0.1042,1738.5,2,0,-0.003,3.0,2.0
2019-06-05 21:00:00,0.1094,0.0,2,0,,,
2019-06-06 14:30:00,0.0892,1730.6,0,0,-0.0014,0.0,2.0
2019-06-06 15:00:00,0.0893,1729.16,3,0,-0.0173,0.0,6.0
2019-06-06 15:30:00,0.0801,1734.54,0,0,-0.0055,2.0,2.0
2019-06-06 16:00:00,0.0924,1739.27,4,3,-0.0117,1.0,3.0
2019-06-06 16:30:00,0.0906,1734.45,1,0,-0.009000000000000001,1.0,3.0
2019-06-06 17:00:00,0.0898,1736.45,2,0,-0.0038,0.0,3.0
2019-06-06 17:30:00,0.0864,1739.45,3,3,0.0046,2.0,2.0
2019-06-06 18:00:00,0.0739,1735.74,2,0,-0.0071,1.0,3.0
2019-06-06 18:30:00,0.0664,1737.2,0,0,-0.0108,2.0,3.0
2019-06-06 19:00:00,0.0844,1740.68,3,0,-0.003,1.0,1.0
2019-06-06 19:30:00,0.0782,1745.1,3,1,0.0,1.0,3.0
2019-06-06 20:00:00,0.0761,1752.83,3,0,0.0098,4.0,1.0
2019-06-06 20:30:00,0.0711,1754.36,2,0,-0.003,0.0,3.0
2019-06-06 21:00:00,0.0645,0.0,0,0,,,
2019-06-07 14:30:00,0.039,1782.2,0,0,0.0144,5.0,3.0
2019-06-07 15:00:00,0.0332,1793.99,1,0,0.0168,6.0,1.0
2019-06-07 15:30:00,0.0493,1803.25,3,0,0.02,7.0,4.0
2019-06-07 16:00:00,0.0716,1795.08,3,0,0.0077,4.0,1.0
2019-06-07 16:30:00,0.075,1798.0,3,0,0.071,5.0,5.0
2019-06-07 17:00:00,0.0827,1799.74,2,0,-0.0141,2.0,4.0
2019-06-07 18:00:00,0.1024,1798.88,5,1,-0.0263,3.0,6.0
2019-06-07 18:30:00,0.1368,1801.61,9,1,-0.0095,1.0,5.0
2019-06-07 19:00:00,0.1818,1803.4,11,0,-0.0031,2.0,5.0
2019-06-07 19:30:00,0.19899999999999998,1800.35,4,7,-0.01,1.0,6.0
2019-06-07 20:00:00,0.2519,1804.46,8,3,-0.0293,1.0,9.0
2019-06-07 20:30:00,0.2604,1804.03,5,5,-0.0263,4.0,7.0
2019-06-07 21:00:00,0.2733,0.0,5,1,,,
2019-06-10 14:30:00,0.1242,1844.31,1,0,0.0724,12.0,7.0
2019-06-10 15:00:00,0.1247,1865.01,2,0,0.0129,7.0,0.0
2019-06-10 15:30:00,0.1401,1873.55,2,0,0.0187,5.0,5.0
2019-06-10 16:00:00,0.19699999999999998,1879.6,5,2,0.0246,9.0,6.0
2019-06-10 16:30:00,0.2007,1880.07,3,0,0.0037,5.0,2.0
2019-06-10 17:00:00,0.1855,1874.73,1,0,-0.0079,3.0,6.0
2019-06-10 17:30:00,0.21100000000000002,1870.0,3,0,0.0095,4.0,1.0
2019-06-10 18:00:00,0.2231,1871.61,3,1,-0.0099,1.0,4.0
2019-06-10 18:30:00,0.2222,1872.9,3,0,-0.0037,0.0,1.0
2019-06-10 19:00:00,0.2824,1871.16,8,0,0.0169,4.0,4.0
2019-06-10 19:30:00,0.3132,1872.5,3,0,0.0284,7.0,4.0
2019-06-10 20:00:00,0.3233,1865.67,1,0,0.0305,5.0,3.0
2019-06-10 20:30:00,0.3659,1860.63,1,0,0.0101,2.0,1.0
2019-06-10 21:00:00,0.3642,0.0,1,0,,,
2019-06-11 14:30:00,0.2648,1882.74,3,0,0.0241,8.0,4.0
2019-06-11 15:00:00,0.2523,1883.56,6,0,0.023,9.0,4.0
2019-06-11 15:30:00,0.2207,1873.28,3,2,-0.0442,4.0,9.0
2019-06-11 16:00:00,0.1724,1864.0,2,4,-0.0782,7.0,10.0
2019-06-11 16:30:00,0.131,1865.93,1,4,-0.0306,4.0,7.0
2019-06-11 17:00:00,0.1512,1861.54,5,1,0.0241,8.0,6.0
2019-06-11 17:30:00,0.1614,1861.37,7,1,0.0319,7.0,3.0
2019-06-11 18:00:00,0.1645,1862.9,3,0,0.0126,5.0,4.0
